email_text,label
"Dear Customer, Your account has been suspended due to unusual activity. Click here http://fake-bank.com/verify to verify your account immediately or it will be permanently closed within 24 hours. Contact support@fake-bank.com for assistance.",1
"URGENT! You have won $1,000,000 in our lottery! Claim your prize now by clicking this link http://scam-lottery.com and providing your banking details. Congratulations!!!",1
"Your PayPal account requires immediate verification. Click here http://paypal-verify-fake.com to confirm your identity. Failure to do so will result in account suspension.",1
"ATTENTION: Your credit card has been charged $999.99. If you did not authorize this transaction, click here http://phishing-site.com to cancel immediately!",1
"Security Alert! We detected suspicious login attempts on your account. Please update your password immediately by clicking http://fake-security.com/update-password",1
"You are pre-approved for a $50,000 loan! Click here to claim your offer now http://loan-scam.com before it expires. ACT NOW!!!",1
"Dear valued customer, Your Amazon order #12345 has been delayed. Click here http://amazon-fake.com to track your package and update shipping information.",1
"IRS Tax Refund: You are eligible for a tax refund of $2,500. Click here http://irs-scam.com to claim your refund. Enter your social security number to proceed.",1
"Your Netflix subscription has expired. Update your payment method here http://netflix-phishing.com to continue enjoying our services.",1
"FINAL NOTICE: Your computer has been infected with a virus! Download our antivirus software immediately from http://malware-site.com to protect your data.",1
"Hello, Thank you for your order #78945. Your package will arrive within 3-5 business days. You can track your shipment using the tracking number provided in your account dashboard.",0
"Meeting Reminder: Team standup meeting tomorrow at 10 AM in Conference Room B. Please review the agenda attached and prepare your updates.",0
"Your monthly statement for credit card ending in 4532 is now available. Login to your account to view details. Thank you for being a valued customer.",0
"Welcome to our newsletter! This month we feature articles about productivity tips, book recommendations, and upcoming community events.",0
"Your flight booking confirmation for Flight AA123 on March 15, 2024. Departure: 2:30 PM, Arrival: 5:45 PM. Check-in opens 24 hours before departure.",0
"Thank you for contacting customer support. Your ticket #456789 has been created. Our team will respond within 24-48 hours. Reference your ticket number in future correspondence.",0
"Quarterly performance review scheduled for next week. Please complete your self-assessment form and submit it by Friday. Meeting details will be sent separately.",0
"Your subscription renewal is coming up on March 1st. Your credit card on file will be charged $9.99. You can manage your subscription in account settings.",0
"Project update: Phase 1 completed successfully. Moving to Phase 2 next week. Please review the project timeline and let me know if you have any questions.",0
"New course available: Introduction to Machine Learning. Early bird discount available until end of month. Visit our website for more details and enrollment.",0
"WINNER ALERT! You have been selected to receive a FREE iPhone 15! Click http://iphone-scam.com and enter your credit card for shipping verification.",1
"Your Microsoft account will be deleted! Verify your identity now at http://microsoft-fake.com or lose access to all your data permanently!",1
"Congratulations! Prince of Nigeria needs your help transferring $10 million. You will receive 20% commission. Contact prince@nigeria-scam.com immediately.",1
"Your package could not be delivered. Pay $2.99 customs fee at http://fedex-scam.com to receive your package. Tracking: FAKE123456",1
"WARNING: Your Apple ID has been locked due to security reasons. Unlock now at http://apple-phishing.com or lose access to iCloud, App Store, and all purchases!",1
"Hi team, Please find attached the Q4 sales report. Key highlights include 15% growth and expansion into new markets. Let's discuss in tomorrow's meeting.",0
"Your library books are due on February 15th. Please return them to avoid late fees. You can renew online through our website or mobile app.",0
"Thank you for your feedback! We appreciate your 5-star review. As a token of appreciation, here's a 10% discount code for your next purchase: THANKS10",0
"Dentist appointment reminder: Dr. Smith on Thursday, Feb 8 at 2:00 PM. Please arrive 10 minutes early. Call us if you need to reschedule.",0
"Your tax documents for 2023 are ready. Download them from your secure account portal. Contact our support team if you need assistance.",0
